key,kind,organisation,title,date,url,read_status,notes
P1,primary_full,OpenAI,"OpenAI - Hugging Face Incident, Technical Report (38 pp., PDF)",2026-08-26,https://cdn.openai.com/pdf/67869394-cb91-4c12-888c-5cbd85c7814c/OpenAI-Hugging-Face%20Incident-Technical-Report.pdf,read_in_full,"Cited by section (I-X). Section X is the 'Key Technical Events' table with UTC timestamps (69 dated rows) - the single most important source of the project. P1 and P2 are separate artefacts by the same sender on the same day and are kept as two sources; they contradict each other (see W-3, W-8)."
P2,primary_full,OpenAI,The Hugging Face incident and the road ahead (blog post with event timeline),2026-08-26,https://openai.com/index/hugging-face-incident-and-the-road-ahead/,read_in_full,"Its event timeline dates the Artifactory rebuild to 8 July; four other pieces of evidence place it on 6 July. The blog timeline is wrong (see W-8, evidence base 4.4)."
P3,primary_full,Hugging Face,Technical timeline,2026-07-27,https://huggingface.co/blog/agent-intrusion-technical-timeline,read_in_full,"Source for the alternative-mechanism rows, the URL allowlist scoping, the negative cases N-1 to N-5 and the escalation failure K-4."
P4,primary_full,Black Hat USA 2026,Transcript - Eric Wallace (Alignment & Safety Research) and Michael Dalton (Security & Infrastructure),"2026-08-05 (talk), 2026-09-02 (transcript)",https://singjupost.com/transcript-the-openai-hugging-face-incident-black-hat-usa-2026/,read_in_full,Dalton verbatim: 'The date at this point is July 6.' - one of the four pieces of evidence resolving the rebuild-date conflict.
P7,primary_full,Anthropic,Investigating three real-world incidents in our cybersecurity evaluations,2026-07-30,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,read_in_full,Protection goal stated as path closure: 'Careful validation of all internet access paths before evaluations began.'
P8,primary_full,Anthropic,Improving our alignment and security efforts,2026-08-31,https://www.anthropic.com/news/improving-alignment-security-efforts,read_in_full,Source for negative case N-7.
P9,primary_full,UK AISI,Blog post on the incident,2026-08-04,https://www.aisi.gov.uk/blog/incident-report-unsanctioned-agent-behaviour-during-cyber-testing,read_in_full,Source for negative case N-8.
P11,primary_full,Meta,Addressing third-party testing misconfiguration - Muse Spark 1.1,approx. mid-August 2026,https://research.meta.ai/blog/addressing-third-party-testing-misconfiguration-muse-spark-1-1,read_in_full,"Contrast class, not out-of-sample: the misconfiguration left internet access open, so no containment control was defeated."
P13,primary_full,"CeSIA (Charbel-Raphael Segerie, Arthur Grimonpont)","The OpenAI / Hugging Face incident - what we know, what we don't, what follows","2026-07-28, last updated 2026-08-27",https://cesia.org/en/publications/the-openai-hugging-face-incident-what-we-know-what-we-dont-what-follows/,read_in_full,
P18,primary_full,"OpenAI (Jakub Pachocki, Chief Scientist)",An Alien Mind,2026-09-06,https://openai.com/index/an-alien-mind/,read_in_full,Primary source for the monitoring degradation and for negative case N-9 ('the agents preserved a boundary of not social engineering humans').
P19,primary_full,"OpenAI (Marcus Williams, Hao Sun, Micah Carroll et al.)",How we monitor internal coding agents for misalignment,2026-03-19,https://openai.com/index/how-we-monitor-internal-coding-agents-misalignment/,read_in_full,Published five months before the Hugging Face incident; incident run-up.
P20,primary_full,OpenAI,Public statement on the wiki incident (post on X),2026-09-05,,read_in_full,No direct URL in the evidence base; documented via TechCrunch and Tom's Hardware.
