id,instrument,version_or_date,object_protected,scope_note,n_duration,n_how_long,n_withstand,n_containment,n_egress,n_hours,n_minutes,n_time_axis_present,source_ref,count_method
I01,RAND SL1-SL5,"RR-A2849-1, 2024",model weights against theft; 38 attack vectors,"What the model executes is out of scope. No term count exists: N5 was not read in full, its subject was determined via secondary sources.",,,,,,,,FALSE,N5; evidence base 12,qualitative_no_term_count
I02,SL5 Standard for AI Security,"Preliminary draft v0.1, March 2026, arXiv 2605.08449","physical perimeter: ICD-705 SCIF construction, Red Zones, TEMPEST, NIST 800-53 families","agent 0, sandbox 0, evaluation environment 0. The 2 containment hits are door interlocks; 3 of the 4 egress hits are electromagnetic emanation. Neither term is used in the AI-containment sense.",0,,,2,4,,,FALSE,N6; evidence base 12,full_text_term_count
I03,"GPAI Code of Practice, Safety & Security chapter","2026 (143,901 characters counted)",model weights against self-exfiltration,"tool call 0, logs 0, telemetry 0, agent 1, logging 1 (an optional and/or list), sandbox 1 and isolation 1 - all in the same sentence, Appendix 4.4, under Insider Threats, as a sub-point of reducing the risk of model self-exfiltration. All four evaluation environment hits concern external validity, never security; all eleven contain hits are the verb.",0,,,0,0,,,FALSE,N1; evidence base 12,full_text_term_count
I04,CSA AI Controls Matrix,"v1.1.1, generated 2026-07-22, 247 controls, 18 domains",247 controls across the AI stack,"Counted across all 247 control specifications: day 0, cadence 0, real-time 0, latency 0, delay 0. Time terms appear only as audit cadence (CEK-09, DCS-15, SEF-04, TVM-12, LOG-05). The only control explicitly about time is LOG-06 Clock Synchronization, whose purpose is to make timestamps comparable. 'withstand adversarial attempts' appears in the AIS-13 auditing guideline, not in the normative text, and without a measure.",0,0,0,,,0,0,FALSE,"N2; evidence base 12, 12.1",full_text_term_count
I05,"NIST SP 800-53 Rev. 5, AU-9 and enhancements",Rev. 5,records after they are created,"Protects the integrity of records after creation, not their truth at creation. No term count for this control family in the evidence base.",,,,,,,,FALSE,N3; evidence base 12,qualitative_no_term_count
I06,"NIST SP 800-53 Rev. 5, SC-7 Boundary Protection","Rev. 5, 29 control enhancements","system boundary: deny-by-default, prevent exfiltration, dynamic isolation, fail secure, isolation of system components, restrict outgoing traffic, host-based protection","Counted across the whole SC-7 family: period 0, frequency 0, time 0, delay 0, interval 0, day 0. The single `duration` occurrence is in SC-7.4 External Telecommunications Services: 'Document each exception to the traffic flow policy with a supporting mission or business need and duration of that need.' That duration is the lifetime of an administrative exception to the policy, not the endurance of a boundary under attack - so the one duration in the most comprehensive boundary-protection catalogue in existence measures paperwork, not endurance. SC-7.10 leaves the exfiltration-test frequency as an organization-defined parameter: an empty slot, which is where this project's clause lands.",1,0,0,,,0,0,FALSE,"N3; evidence base 12, 12.4",full_text_term_count
I07,"Fujitsu: AI Sandboxes - A Threat Model, Taxonomy, and Measurement Framework","arXiv 2606.18532, June 2026, 50 pp.",15 measurement dimensions for AI sandboxes,"The closest measurement framework in existence, and its containment dimension carries no time axis. The evidence base states this qualitatively; it gives no per-term counts for this instrument.",,,,,,,,FALSE,N4; evidence base 12,qualitative_no_term_count
I08,Guidelight Control Standard,"v1.1, published 2026-08-10","six practices, all detection and reaction","mechanism 0, time 0.",0,,0,,,,,FALSE,N7; evidence base 12,full_text_term_count
I09,OpenAI Preparedness Framework,"v2, December 2023, maintained",capability thresholds and safeguards,Read: introduction and cyber thresholds. Fully term-searched.,0,,0,0,0,0,0,FALSE,P15; evidence base 12,partial_read_full_term_search
I10,GPT-6 Astra Safety Overview,"2026-09-03, 185,000 characters",customer-facing safety documentation for a Critical-candidate model,"185,000 characters published for a model at a Critical capability threshold, with no containment hold time anywhere in it. Read: monitorability and infrastructure sections. Fully term-searched.",0,0,,0,,,,FALSE,P16; evidence base 12,partial_read_full_term_search
I11,Anthropic August Risk Report,"August 2026, 186 pp., redacted",enterprise risk reporting,"The single containment hit is generic. The single egress hit concerns bandwidth controls against exfiltration of multi-terabyte model weights - the object is the weights, not the agent.",,,,1,1,,,FALSE,P17; evidence base 12,term_search_only
I12,Moon and Varshney: Containment Verification - AI Safety Guarantees Independent of Alignment,"arXiv 2605.09045, 14 pp., ICML 2026 workshop AIWILD",the agentic framework (containment layer) rather than the model,"Deductive verification of boundary-event safety for every typed action the AI can emit, independent of capability, training and strategy. Instantiated on PocketFlow under havoc-oracle semantics. States the goal 'independent of alignment' in almost the same words as this project - and still has no time axis. Binary and static: it proves WHETHER a boundary holds under modelled assumptions, never HOW LONG it holds against an attacker who finds an unmodelled path.",0,0,0,,,0,0,FALSE,CV1; evidence base 11.7,full_text_term_count_aggregated_over_cluster
I13,Hossain et al.: The Containment Gap - How Deployed Agentic AI Frameworks Fail Public-Facing Safety Requirements,"arXiv 2606.12797, 9 pp.",six containment principles from a compositional model of agentic architectures,"Audits LangChain, AutoGPT and the OpenAI Agents SDK; none satisfies the principles natively, and memory integrity is missing from all three. Empirically validated against a memory-poisoning attack. Binary and static.",0,0,0,,,0,0,FALSE,CV2; evidence base 11.7,full_text_term_count_aggregated_over_cluster
I14,Metere: Methods for Formal Verification of Agent Skills - Three Layers Toward a Mechanically Checkable Capability-Containment Proof,"arXiv 2605.23951, 29 pp.","capability containment, mapped to EU AI Act Art. 9/13/15/16, NIS2, NIST AI RMF, FedRAMP/SP 800-53 (AC, AU, SI, SR, RA, PT), ISO/IEC 42001 and 23894","Carries 'Capability-Containment Proof' in its title and has no hold time. Its only P > hit is a probability: it distinguishes statistical lower bounds from formal containment proofs, noting that the former lower P[dangerous output] while P > 0 survives at any non-trivial scale. This is exactly the misreading the P_wall / P_exp writing rule exists to prevent.",0,0,0,,,0,0,FALSE,CV3; evidence base 11.7,full_text_term_count_aggregated_over_cluster
I15,MITRE ATT&CK,2026,adversary tactics and techniques catalogue,"Cannot represent persistence by re-infection over ephemeral compute: there is no cron, no service and no on-disk implant to map (K-5). Assessment from SecureLayer7; no term count performed.",,,,,,,,FALSE,"N10; X01 (assessment); evidence base 12, 6/K-5",qualitative_no_term_count
I16,"EU AI Act and NIST AI RMF, as mapped by CSA AICM","CSA AICM v1.1.1 mappings sheet, 2026-07-22",general AI governance requirements,"Carried as one row because the evidence base treats them as one. CSA's own formal declarations: AIS-11 against the EU AI Act is No Mapping / Full Gap, with the addendum 'Include security boundaries for agents, for both AI System and AI Model, in Article 3'; against NIST AI RMF + 600-1 also Full Gap. AIS-13 against the EU AI Act is Full Gap - 'The EU AI Act does not provide requirements related to AIS-13' - and Full Gap against NIST. AIS-14 against the EU AI Act is Full Gap. This is a standards body's formal finding, not this project's assertion.",,,,,,,,FALSE,N2 (mappings sheet); evidence base 12.2,qualitative_no_term_count
I17,METR documented-incident catalogue (companion to the Frontier Risk Report),"2026-05-19, updated since; 44 incidents","agent behaviour, scored for scope violation and concealment","The most extensive public catalogue of AI agent incidents scores two axes, neither of which is duration. No entry records how long a control held. The two axes are overreach (how far beyond intended scope the agent knowingly went) and deception (steps taken to avoid detection or conceal actions). Downloadable as incidents.json; grading was done by Claude Opus 4.7.",,,,,,,,FALSE,N11; https://metr.org/agent-incidents/,qualitative_no_term_count
SUMMARY,generated summary - not an instrument,regenerated by src/instruments_summary.py,,"counted=11; qualitative=6. 11 instruments where the absence of a time axis for containment was established by term count (5 full_text_term_count, 3 full_text_term_count_aggregated_over_cluster, 2 partial_read_full_term_search, 1 term_search_only), and 6 more by qualitative reading of the evidence base. Headline sentences use 11, because that is the number a reviewer can re-run; all 17 rows stay in the data. The figures of ten, twelve and fourteen instruments that appear in the evidence base are stale - they date from earlier drafts and were never reconciled.",,,,,,,,FALSE,derived from the instrument rows above,generated_summary
